canonical_title,authors,year,primary_key,official_course_relevance,source_url,arxiv_abs_url,arxiv_eprint_url,official_pdf_url,local_folder,merged_tex_path,status
Deepseek 67B,DeepSeek,,deepseek_67b,2026 model-recipes-open-models,https://arxiv.org/pdf/2401.02954.pdf,https://arxiv.org/abs/2401.02954,https://arxiv.org/e-print/2401.02954,https://arxiv.org/e-print/2401.02954,papers/normalized/deepseek_67b,papers/merged_tex/deepseek_67b.tex,tex_source
Deepseek V3,,,deepseek_v3,2026 model-recipes-open-models,https://arxiv.org/pdf/2412.19437.pdf,https://arxiv.org/abs/2412.19437,https://arxiv.org/e-print/2412.19437,https://arxiv.org/e-print/2412.19437,papers/normalized/deepseek_v3,papers/merged_tex/deepseek_v3.tex,tex_source
Deepseek V3 2,,,deepseek_v3_2_2025,2026 model-recipes-open-models,https://arxiv.org/abs/2512.02556,https://arxiv.org/abs/2512.02556,https://arxiv.org/e-print/2512.02556,https://arxiv.org/e-print/2512.02556,papers/normalized/deepseek_v3_2,papers/merged_tex/deepseek_v3_2.tex,tex_source
Gemma,Google DeepMind,,gemma,2026 model-recipes-open-models,https://arxiv.org/pdf/2403.08295.pdf,https://arxiv.org/abs/2403.08295,https://arxiv.org/e-print/2403.08295,https://arxiv.org/e-print/2403.08295,papers/normalized/gemma,papers/merged_tex/gemma.tex,tex_source
GPT 3,OpenAI,,gpt_3,2026 model-recipes-open-models,https://arxiv.org/pdf/2005.14165.pdf,https://arxiv.org/abs/2005.14165,https://arxiv.org/e-print/2005.14165,https://arxiv.org/e-print/2005.14165,papers/normalized/gpt_3,papers/merged_tex/gpt_3.tex,tex_source
GPT Neox,EleutherAI,,gpt_neox,2026 model-recipes-open-models,https://arxiv.org/pdf/2204.06745.pdf,https://arxiv.org/abs/2204.06745,https://arxiv.org/e-print/2204.06745,https://arxiv.org/e-print/2204.06745,papers/normalized/gpt_neox,papers/merged_tex/gpt_neox.tex,tex_source
GPT-J,EleutherAI,2021,gpt_j,2026 model-recipes-open-models,https://arankomatsuzaki.wordpress.com/2021/06/04/gpt-j/,,,,papers/normalized/gpt_j,,pdf_only
Huanyuan Large,Tencent,,huanyuan_large,2026 model-recipes-open-models,https://arxiv.org/abs/2411.02265,https://arxiv.org/abs/2411.02265,https://arxiv.org/e-print/2411.02265,https://arxiv.org/e-print/2411.02265,papers/normalized/huanyuan_large,papers/merged_tex/huanyuan_large.tex,tex_source
Language Models are Unsupervised Multitask Learners,OpenAI,2019,gpt2,2026 model-recipes-open-models,https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf,,,,papers/normalized/language_models_are_unsupervised_multitask_learners,,pdf_only
LLAMA,Meta,,llama,2026 model-recipes-open-models,https://arxiv.org/pdf/2302.13971.pdf,https://arxiv.org/abs/2302.13971,https://arxiv.org/e-print/2302.13971,https://arxiv.org/e-print/2302.13971,papers/normalized/llama,papers/merged_tex/llama.tex,tex_source
